datapath,in_port,eth_src,eth_dst,ip_src,ip_dst,protocol,tcp_src,tcp_dst,packet_count,byte_count,duration_sec,duration_nsec,class_label
10,0,,,,,0,0,0,637,76426,141,240000000,0
7,0,,,,,0,0,0,653,79644,141,288000000,0
9,0,,,,,0,0,0,583,68378,141,258000000,0
5,0,,,,,0,0,0,649,79312,141,316000000,0
2,0,,,,,0,0,0,1083,130334,141,354000000,1
1,0,,,,,0,0,0,1084,130324,151,364000000,1
10,0,,,,,0,0,0,638,76496,151,243000000,0
9,0,,,,,0,0,0,584,68448,151,262000000,0
3,0,,,,,0,0,0,607,72160,151,345000000,0
2,0,,,,,0,0,0,1088,130684,151,358000000,1
5,0,,,,,0,0,0,652,79522,151,321000000,0
7,0,,,,,0,0,0,655,79784,151,292000000,0
1,0,,,,,0,0,0,1084,130324,161,371000000,1
3,0,,,,,0,0,0,607,72160,161,351000000,0
7,0,,,,,0,0,0,655,79784,161,297000000,0
2,0,,,,,0,0,0,1088,130684,161,363000000,1
5,0,,,,,0,0,0,652,79522,161,326000000,0
9,0,,,,,0,0,0,584,68448,161,267000000,0
10,0,,,,,0,0,0,638,76496,161,252000000,0
1,0,,,,,0,0,0,1084,130324,171,377000000,1
2,0,,,,,0,0,0,1088,130684,171,370000000,1
3,0,,,,,0,0,0,607,72160,171,358000000,0
7,0,,,,,0,0,0,655,79784,171,304000000,0
9,0,,,,,0,0,0,584,68448,171,273000000,0
5,0,,,,,0,0,0,652,79522,171,332000000,0
10,0,,,,,0,0,0,638,76496,171,258000000,0
1,0,,,,,0,0,0,1084,130324,181,379000000,1
2,0,,,,,0,0,0,1088,130684,181,372000000,1
10,0,,,,,0,0,0,638,76496,181,258000000,0
3,0,,,,,0,0,0,607,72160,181,359000000,0
7,0,,,,,0,0,0,655,79784,181,306000000,0
9,0,,,,,0,0,0,584,68448,181,276000000,0
5,0,,,,,0,0,0,652,79522,181,335000000,0
1,0,,,,,0,0,0,1092,130660,191,381000000,1
10,0,,,,,0,0,0,638,76496,191,260000000,0
3,0,,,,,0,0,0,607,72160,191,362000000,0
2,0,,,,,0,0,0,1088,130684,191,375000000,1
9,0,,,,,0,0,0,584,68448,191,278000000,0
7,0,,,,,0,0,0,655,79784,191,308000000,0
5,0,,,,,0,0,0,652,79522,191,337000000,0
1,0,,,,,0,0,0,1102,131080,201,384000000,1
2,0,,,,,0,0,0,1088,130684,201,378000000,1
9,0,,,,,0,0,0,584,68448,201,281000000,0
3,0,,,,,0,0,0,607,72160,201,365000000,0
10,0,,,,,0,0,0,638,76496,201,263000000,0
5,0,,,,,0,0,0,652,79522,201,341000000,0
7,0,,,,,0,0,0,655,79784,201,312000000,0
1,0,,,,,0,0,0,1112,131500,211,386000000,1
10,0,,,,,0,0,0,639,76566,211,265000000,0
3,0,,,,,0,0,0,607,72160,211,367000000,0
7,0,,,,,0,0,0,655,79784,211,314000000,0
2,0,,,,,0,0,0,1088,130684,211,380000000,1
9,0,,,,,0,0,0,584,68448,211,283000000,0
5,0,,,,,0,0,0,652,79522,211,343000000,0
1,0,,,,,0,0,0,1125,132130,221,389000000,1
10,0,,,,,0,0,0,640,76636,221,267000000,0
2,0,,,,,0,0,0,1089,130754,221,382000000,1
3,0,,,,,0,0,0,608,72230,221,369000000,0
7,0,,,,,0,0,0,656,79854,221,316000000,0
5,0,,,,,0,0,0,653,79592,221,344000000,0
9,0,,,,,0,0,0,586,68588,221,286000000,0
1,0,,,,,0,0,0,1138,132760,231,390000000,1
10,0,,,,,0,0,0,641,76706,231,269000000,0
9,0,,,,,0,0,0,587,68658,231,287000000,0
2,0,,,,,0,0,0,1091,130894,231,384000000,1
3,0,,,,,0,0,0,608,72230,231,371000000,0
5,0,,,,,0,0,0,655,79732,231,346000000,0
7,0,,,,,0,0,0,656,79854,231,318000000,0
1,0,,,,,0,0,0,1156,133768,241,392000000,1
9,0,,,,,0,0,0,593,69078,241,289000000,0
10,0,,,,,0,0,0,647,77126,241,271000000,0
2,0,,,,,0,0,0,1101,131594,241,386000000,1
3,0,,,,,0,0,0,614,72650,241,373000000,0
7,0,,,,,0,0,0,664,80414,241,320000000,0
5,0,,,,,0,0,0,661,80152,241,348000000,0
1,0,,,,,0,0,0,1178,135140,251,394000000,1
3,0,,,,,0,0,0,624,73350,251,374000000,0
10,0,,,,,0,0,0,658,77896,251,272000000,0
5,0,,,,,0,0,0,671,80852,251,349000000,0
7,0,,,,,0,0,0,674,81114,251,320000000,0
2,0,,,,,0,0,0,1117,132714,251,386000000,1
9,0,,,,,0,0,0,602,69708,251,290000000,0
1,0,,,,,0,0,0,1210,140572,261,396000000,1
10,0,,,,,0,0,0,678,81158,261,274000000,0
2,0,,,,,0,0,0,1148,138076,261,389000000,1
3,0,,,,,0,0,0,642,76339,261,376000000,0
5,0,,,,,0,0,0,690,84177,261,352000000,0
9,0,,,,,0,0,0,618,72424,261,293000000,0
7,0,,,,,0,0,0,695,84579,261,323000000,0
1,0,,,,,0,0,0,1238,142532,271,399000000,1
3,0,,,,,0,0,0,652,77039,271,379000000,0
10,0,,,,,0,0,0,691,82068,271,278000000,0
7,0,,,,,0,0,0,709,85559,271,326000000,0
5,0,,,,,0,0,0,705,85227,271,356000000,0
2,0,,,,,0,0,0,1174,139896,271,392000000,1
9,0,,,,,0,0,0,632,73404,271,296000000,0
3,0,,,,,0,0,0,652,77039,281,385000000,0
2,0,,,,,0,0,0,1174,139896,281,398000000,1
1,0,,,,,0,0,0,1238,142532,281,405000000,1
5,0,,,,,0,0,0,705,85227,281,361000000,0
7,0,,,,,0,0,0,709,85559,281,332000000,0
9,0,,,,,0,0,0,632,73404,281,301000000,0
10,0,,,,,0,0,0,691,82068,281,288000000,0
1,0,,,,,0,0,0,1250,143372,291,408000000,1
3,0,,,,,0,0,0,660,77599,291,388000000,0
9,0,,,,,0,0,0,640,73964,291,305000000,0
7,0,,,,,0,0,0,717,86119,291,335000000,0
2,0,,,,,0,0,0,1190,141016,291,401000000,1
5,0,,,,,0,0,0,713,85787,291,363000000,0
10,0,,,,,0,0,0,699,82628,291,290000000,0
1,0,,,,,0,0,0,1251,143442,301,411000000,1
10,0,,,,,0,0,0,699,82628,301,290000000,0
3,0,,,,,0,0,0,665,77949,301,391000000,0
9,0,,,,,0,0,0,640,73964,301,308000000,0
2,0,,,,,0,0,0,1192,141156,301,404000000,1
5,0,,,,,0,0,0,714,85857,301,367000000,0
7,0,,,,,0,0,0,717,86119,301,338000000,0
1,0,,,,,0,0,0,1251,143442,311,417000000,1
10,0,,,,,0,0,0,699,82628,311,296000000,0
2,0,,,,,0,0,0,1192,141156,311,412000000,1
3,0,,,,,0,0,0,665,77949,311,399000000,0
9,0,,,,,0,0,0,640,73964,311,315000000,0
7,0,,,,,0,0,0,717,86119,311,346000000,0
5,0,,,,,0,0,0,714,85857,311,375000000,0
1,0,,,,,0,0,0,1251,143442,321,423000000,1
10,0,,,,,0,0,0,699,82628,321,301000000,0
3,0,,,,,0,0,0,665,77949,321,403000000,0
9,0,,,,,0,0,0,640,73964,321,319000000,0
2,0,,,,,0,0,0,1192,141156,321,416000000,1
7,0,,,,,0,0,0,717,86119,321,350000000,0
5,0,,,,,0,0,0,714,85857,321,378000000,0
3,0,,,,,0,0,0,665,77949,331,409000000,0
2,0,,,,,0,0,0,1192,141156,331,421000000,1
1,0,,,,,0,0,0,1251,143442,331,429000000,1
5,0,,,,,0,0,0,714,85857,331,383000000,0
10,0,,,,,0,0,0,699,82628,331,310000000,0
9,0,,,,,0,0,0,640,73964,331,325000000,0
7,0,,,,,0,0,0,717,86119,331,355000000,0
1,0,,,,,0,0,0,1251,143442,341,435000000,1
3,0,,,,,0,0,0,665,77949,341,414000000,0
7,0,,,,,0,0,0,717,86119,341,361000000,0
2,0,,,,,0,0,0,1192,141156,341,427000000,1
10,0,,,,,0,0,0,699,82628,341,316000000,0
5,0,,,,,0,0,0,714,85857,341,389000000,0
9,0,,,,,0,0,0,640,73964,341,331000000,0
3,0,,,,,0,0,0,665,77949,351,420000000,0
1,0,,,,,0,0,0,1251,143442,351,441000000,1
5,0,,,,,0,0,0,714,85857,351,394000000,0
9,0,,,,,0,0,0,640,73964,351,336000000,0
2,0,,,,,0,0,0,1192,141156,351,433000000,1
7,0,,,,,0,0,0,717,86119,351,366000000,0
10,0,,,,,0,0,0,699,82628,351,321000000,0
3,0,,,,,0,0,0,665,77949,361,427000000,0
1,0,,,,,0,0,0,1251,143442,361,448000000,1
9,0,,,,,0,0,0,640,73964,361,343000000,0
2,0,,,,,0,0,0,1192,141156,361,440000000,1
7,0,,,,,0,0,0,717,86119,361,374000000,0
10,0,,,,,0,0,0,699,82628,361,328000000,0
5,0,,,,,0,0,0,714,85857,361,402000000,0
1,0,,,,,0,0,0,1251,143442,371,449000000,1
10,0,,,,,0,0,0,699,82628,371,327000000,0
2,0,,,,,0,0,0,1192,141156,371,441000000,1
3,0,,,,,0,0,0,665,77949,371,429000000,0
7,0,,,,,0,0,0,717,86119,371,375000000,0
5,0,,,,,0,0,0,714,85857,371,403000000,0
9,0,,,,,0,0,0,640,73964,371,344000000,0
1,0,,,,,0,0,0,1251,143442,381,456000000,1
3,0,,,,,0,0,0,665,77949,381,436000000,0
10,0,,,,,0,0,0,699,82628,381,335000000,0
7,0,,,,,0,0,0,717,86119,381,382000000,0
9,0,,,,,0,0,0,640,73964,381,352000000,0
2,0,,,,,0,0,0,1192,141156,381,449000000,1
5,0,,,,,0,0,0,714,85857,381,410000000,0
10,0,,,,,0,0,0,699,82628,391,340000000,0
1,0,,,,,0,0,0,1251,143442,391,464000000,1
3,0,,,,,0,0,0,665,77949,391,443000000,0
2,0,,,,,0,0,0,1192,141156,391,455000000,1
9,0,,,,,0,0,0,640,73964,391,359000000,0
7,0,,,,,0,0,0,717,86119,391,389000000,0
5,0,,,,,0,0,0,714,85857,391,417000000,0
1,0,,,,,0,0,0,1251,143442,401,468000000,1
10,0,,,,,0,0,0,699,82628,401,347000000,0
3,0,,,,,0,0,0,665,77949,401,449000000,0
2,0,,,,,0,0,0,1192,141156,401,461000000,1
9,0,,,,,0,0,0,640,73964,401,365000000,0
7,0,,,,,0,0,0,717,86119,401,395000000,0
5,0,,,,,0,0,0,714,85857,401,423000000,0
10,0,,,,,0,0,0,699,82628,411,352000000,0
9,0,,,,,0,0,0,640,73964,411,370000000,0
2,0,,,,,0,0,0,1192,141156,411,467000000,1
1,0,,,,,0,0,0,1251,143442,411,475000000,1
3,0,,,,,0,0,0,665,77949,411,456000000,0
7,0,,,,,0,0,0,717,86119,411,401000000,0
5,0,,,,,0,0,0,714,85857,411,429000000,0
3,0,,,,,0,0,0,665,77949,421,457000000,0
2,0,,,,,0,0,0,1192,141156,421,470000000,1
1,0,,,,,0,0,0,1251,143442,421,478000000,1
9,0,,,,,0,0,0,640,73964,421,374000000,0
7,0,,,,,0,0,0,717,86119,421,404000000,0
5,0,,,,,0,0,0,714,85857,421,432000000,0
10,0,,,,,0,0,0,700,82698,421,359000000,0
3,0,,,,,0,0,0,665,77949,431,462000000,0
1,0,,,,,0,0,0,1251,143442,431,482000000,1
9,0,,,,,0,0,0,640,73964,431,379000000,0
7,0,,,,,0,0,0,717,86119,431,409000000,0
5,0,,,,,0,0,0,714,85857,431,437000000,0
2,0,,,,,0,0,0,1192,141156,431,475000000,1
10,0,,,,,0,0,0,700,82698,431,364000000,0
10,0,,,,,0,0,0,700,82698,441,366000000,0
1,0,,,,,0,0,0,1251,143442,441,487000000,1
3,0,,,,,0,0,0,665,77949,441,468000000,0
